,0,1,2,3,4,5
0,120,23,113,18,0,0
1,134,27,128,24,2,0
2,136,27,127,20,1,0
3,53,8,48,7,0,0
4,34,6,31,5,0,0
5,82,13,78,9,0,0
6,47,13,44,10,0,0
7,95,19,93,12,0,0
8,46,6,40,4,0,0
9,62,9,55,8,1,0
10,61,13,56,10,1,0
11,134,25,128,18,0,0
12,60,9,58,7,1,0
13,36,5,34,5,1,0
14,41,6,35,6,0,0
15,124,19,121,16,1,0
16,116,15,106,12,0,0
17,107,24,98,20,2,0
18,96,20,90,14,0,0
19,71,17,71,15,2,0
20,44,9,42,9,0,0
21,114,22,102,14,0,0
22,33,5,31,3,0,0
23,34,5,33,4,0,0
24,109,21,102,15,0,0
25,41,7,38,4,0,0
26,89,15,84,14,2,0
27,50,9,46,8,1,0
28,80,14,75,12,1,0
29,41,6,36,6,0,0
30,46,9,44,7,1,0
31,75,15,73,13,0,0
32,43,10,39,8,0,0
33,31,5,30,3,0,0
34,61,10,60,9,0,0
35,103,18,92,16,0,0
36,102,18,95,13,0,1
37,137,24,127,20,1,0
38,124,23,119,16,0,0
39,59,8,54,8,0,0
40,136,25,129,20,0,0
41,43,6,35,6,0,0
42,136,25,132,21,0,0
43,101,16,95,13,0,0
44,137,25,130,19,0,0
45,47,8,45,5,0,0
46,32,5,31,5,0,0
47,118,18,112,15,1,1
48,57,11,52,11,1,0
49,132,25,124,17,0,0
50,54,11,53,8,1,0
51,41,7,40,5,0,0
52,121,17,118,12,0,0
53,21,6,19,5,0,0
54,123,24,117,21,1,0
55,36,6,32,4,0,0
56,136,22,130,16,1,0
57,104,22,99,22,0,0
58,33,6,27,6,0,0
59,91,16,86,14,0,0
60,80,14,68,10,0,0
61,43,7,39,7,0,0
62,116,21,114,14,0,0
63,64,10,61,10,1,1
64,98,17,94,14,2,0
65,119,20,116,15,0,0
66,136,23,132,20,0,0
67,55,9,50,8,0,0
68,19,2,18,2,0,0
69,73,14,69,12,0,0
70,112,23,103,18,0,0
71,90,10,86,10,0,0
72,56,10,54,8,1,0
73,20,3,19,3,0,0
74,76,12,73,8,0,0
75,88,15,83,12,0,0
76,81,16,77,12,1,0
77,92,17,90,14,0,0
78,135,25,131,25,2,0
79,75,12,72,11,0,0
80,52,10,48,9,0,0
81,45,9,44,7,0,0
82,87,16,74,14,0,0
83,77,11,71,9,0,0
84,25,3,24,3,0,0
85,122,23,116,20,2,0
86,74,11,69,10,0,0
87,78,10,72,8,0,0
88,118,20,112,16,0,0
89,101,21,94,14,0,0
90,83,12,73,11,0,0
91,39,2,36,2,0,1
92,35,5,33,5,0,0
93,135,22,132,13,0,0
94,111,20,106,17,0,0
95,30,6,29,6,0,0
96,72,11,67,8,1,1
97,118,25,116,16,0,0
98,132,25,126,21,0,0
99,74,15,72,12,1,0
100,50,10,48,8,0,0
101,134,25,127,19,2,0
102,39,8,36,6,0,0
103,95,16,92,12,0,0
104,32,5,28,5,0,0
105,40,7,38,5,0,0
106,35,5,33,4,0,0
107,73,14,69,11,1,0
108,45,9,41,8,0,0
109,80,16,76,13,1,0
110,33,6,30,6,0,0
111,51,10,50,7,0,0
112,91,14,87,13,1,0
113,123,22,119,22,0,0
114,67,14,65,14,0,0
115,136,24,133,21,2,0
116,58,10,57,8,0,0
117,126,16,101,12,0,0
118,93,16,83,14,0,0
119,27,4,23,4,1,0
120,89,16,86,11,0,0
121,106,16,99,13,2,0
122,65,12,63,8,0,0
123,76,12,70,11,1,0
124,49,9,47,9,1,0
125,37,6,34,5,0,0
126,126,22,114,15,0,0
127,91,19,86,15,0,0
128,135,24,125,24,0,0
129,76,11,70,8,1,0
130,126,26,124,20,2,1
131,39,7,36,7,0,0
132,21,4,20,4,0,0
133,107,17,97,16,0,0
134,76,13,70,12,2,0
135,116,18,109,14,0,0
136,64,14,61,13,0,1
137,58,11,57,9,1,0
138,19,3,16,3,0,0
139,33,3,32,3,0,0
140,134,23,130,17,0,0
141,95,16,90,14,0,0
142,123,23,118,20,1,0
143,99,16,92,13,3,0
144,18,3,16,3,0,0
145,33,6,31,4,0,0
146,23,4,22,4,0,0
147,137,26,129,23,0,0
148,21,4,19,3,0,0
149,21,3,20,3,0,0
150,53,4,49,4,0,0
151,49,8,48,7,1,0
152,41,6,38,5,0,0
153,19,3,17,3,0,0
154,100,18,94,16,1,0
155,71,14,67,14,0,0
156,78,16,75,12,0,0
157,42,7,40,5,0,0
158,30,7,27,5,0,0
159,19,3,17,3,0,0
160,52,8,48,6,0,0
161,127,21,120,16,0,1
162,85,15,82,12,0,0
163,34,5,32,5,1,0
164,55,10,52,9,0,0
165,51,9,49,8,0,0
166,80,14,74,12,0,0
167,35,5,34,5,1,0
168,101,15,95,13,1,0
169,44,8,37,8,0,0
170,84,13,76,10,0,0
171,47,8,46,7,0,0
172,69,12,63,12,1,0
173,29,6,25,4,0,0
174,84,13,78,11,0,0
175,32,5,30,4,0,0
176,102,19,97,14,0,0
177,137,32,133,24,1,0
178,126,25,102,21,3,0
179,93,17,87,14,0,0
180,135,22,124,19,0,0
181,119,16,108,12,0,0
182,66,7,56,7,0,0
183,68,9,61,8,0,0
184,100,17,97,12,1,0
185,56,9,51,8,1,0
186,116,20,113,15,0,0
187,79,14,74,11,0,0
188,74,12,72,11,0,0
189,25,3,22,3,1,0
190,68,12,64,11,1,0
191,119,23,114,16,1,0
192,68,13,64,8,0,0
193,44,8,43,7,0,0
194,45,8,43,7,0,0
195,38,6,34,5,2,0
196,125,23,114,18,1,0
197,125,23,119,17,1,0
198,35,5,31,5,0,0
199,63,10,61,7,0,0
200,88,16,84,13,0,0
201,65,12,62,7,0,0
202,58,8,55,6,0,0
203,79,13,74,12,0,0
204,93,14,90,11,0,0
205,88,16,85,13,0,0
206,105,20,101,16,0,0
207,24,4,22,4,0,0
208,117,22,113,17,1,0
209,83,13,80,11,0,0
210,110,24,106,20,0,0
211,52,10,50,10,1,0
212,74,12,72,10,1,0
213,130,24,123,20,1,0
214,51,9,48,8,0,0
215,49,9,44,7,1,0
216,49,9,43,6,0,0
217,58,13,55,10,1,0
218,59,10,56,10,0,0
219,24,3,20,3,0,0
220,53,10,49,8,1,0
221,80,15,73,14,1,0
222,28,4,27,4,0,0
223,133,20,123,14,0,0
224,120,23,117,16,0,0
225,58,5,38,4,0,0
226,63,9,59,7,0,0
227,72,17,70,13,0,0
228,86,13,79,11,1,0
229,136,23,130,20,1,1
230,121,22,114,19,0,0
231,48,9,46,6,0,0
232,87,15,76,13,0,0
233,27,5,26,5,0,0
234,80,16,75,10,0,0
235,17,2,16,2,0,0
236,112,19,108,16,1,0
237,78,14,72,13,0,0
238,47,8,45,5,1,0
239,14,3,13,3,1,0
240,38,4,35,4,0,0
241,117,19,112,13,0,0
242,45,8,42,8,0,0
243,43,9,39,7,2,0
244,71,12,67,11,0,0
245,55,8,52,6,0,0
246,129,29,128,24,2,0
247,137,26,128,25,2,0
248,108,20,100,19,0,0
249,80,14,75,12,1,0
250,26,4,22,3,0,0
251,28,4,26,4,0,0
252,54,7,52,6,0,0
253,101,15,95,12,1,0
254,129,26,125,20,1,0
255,85,15,79,12,0,0
256,107,19,103,15,0,0
257,63,11,61,7,0,0
258,129,22,123,21,1,0
259,70,15,63,13,2,0
260,127,27,119,22,0,0
261,50,9,43,9,1,0
262,98,16,94,12,0,0
263,73,10,68,9,0,0
264,107,20,104,17,1,0
265,43,6,40,5,0,0
266,82,13,80,13,0,0
267,128,22,124,17,2,0
268,74,14,69,13,0,0
269,132,20,123,17,0,0
270,119,24,112,18,0,0
271,36,8,33,6,0,0
272,135,23,125,19,0,0
273,136,25,132,19,0,0
274,94,17,90,13,0,0
275,60,9,46,9,0,0
276,135,28,129,25,0,0
277,72,15,71,12,1,0
278,123,21,117,20,1,0
279,23,3,20,3,0,0
280,63,14,58,13,1,0
281,79,15,75,15,0,0
282,131,20,122,19,0,0
283,23,4,22,4,0,0
284,32,5,29,5,0,0
285,96,17,92,11,0,0
286,21,4,18,3,0,0
287,134,26,128,18,1,0
288,33,5,32,5,0,0
289,83,13,81,7,0,0
290,59,9,57,7,1,0
291,61,11,57,10,1,0
292,86,19,83,15,0,0
293,38,6,34,4,1,0
294,51,10,49,8,1,0
295,83,17,78,15,0,0
296,31,5,27,3,0,0
297,32,5,28,5,2,0
298,26,3,22,3,0,0
299,104,21,101,17,0,0
300,128,27,124,22,0,0
301,47,10,41,8,2,0
302,21,5,20,5,1,0
303,98,16,96,13,0,0
304,92,13,85,11,0,0
305,88,14,83,11,0,0
306,64,12,60,10,0,0
307,19,3,18,3,0,0
308,121,20,109,20,1,0
309,130,26,126,20,0,0
310,24,5,21,5,0,1
311,136,25,128,22,1,0
312,28,5,27,4,0,0
313,115,21,109,20,0,0
314,63,10,60,10,0,0
315,42,10,39,9,0,0
316,105,20,102,17,2,0
317,62,9,55,7,0,0
318,50,8,47,6,0,0
319,44,7,40,7,1,0
320,108,20,105,17,1,0
321,52,12,47,11,1,0
322,119,19,109,15,0,0
323,38,7,35,6,0,0
324,25,5,21,5,0,0
325,109,19,100,18,2,0
326,44,10,42,7,0,0
327,72,12,65,10,1,0
328,135,22,125,20,0,0
329,47,9,46,7,0,0
330,33,5,27,5,0,1
331,34,8,31,6,0,0
332,82,14,73,12,0,0
333,27,4,24,3,0,0
334,123,21,115,17,1,0
335,83,13,74,11,0,0
336,63,10,56,8,0,0
337,137,29,134,21,1,0
338,74,12,70,11,0,0
339,23,3,22,3,0,0
340,124,13,111,11,1,0
341,48,7,40,7,0,0
342,73,14,66,12,0,0
343,76,13,71,13,0,0
344,117,21,111,19,1,0
345,43,7,41,6,0,0
346,120,23,115,17,0,0
347,103,16,100,14,1,0
348,78,15,76,13,1,0
